,institution,school_name,city,institution_state,degree_level,degree_type,grad_cohort,grad_cohort_years,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count
0,134500,Adams State University,Alamosa,CO,3,Associates,0,5,15404.0,21508.0,29103.0,219.0,25721.0,33423.0,49730.0,147.0,31012.0,43798.0,64121.0,85.0,886.0,253.0,126.0
2,134500,Adams State University,Alamosa,CO,7,Masters,0,5,35449.0,44007.0,53243.0,2557.0,39258.0,48830.0,59206.0,1717.0,43505.0,52342.0,64881.0,834.0,3364.0,2139.0,1070.0
7,134800,Colorado School of Mines,Golden,CO,7,Masters,0,5,52634.0,69723.0,93683.0,2158.0,69180.0,90671.0,126461.0,1296.0,78709.0,110546.0,165131.0,464.0,3853.0,2089.0,875.0
9,134800,Colorado School of Mines,Golden,CO,17,Doctoral - Research/Scholarship,0,5,58152.0,80925.0,115233.0,468.0,79496.0,107089.0,152612.0,291.0,98403.0,136278.0,184344.0,90.0,882.0,472.0,244.0
11,134900,University of Northern Colorado,Greeley,CO,7,Masters,0,5,33561.0,43272.0,55183.0,6783.0,39917.0,50978.0,65231.0,4482.0,44391.0,57284.0,73148.0,2253.0,9042.0,5839.0,3118.0
12,134900,University of Northern Colorado,Greeley,CO,17,Doctoral - Research/Scholarship,0,5,47174.0,60427.0,80114.0,683.0,56370.0,71171.0,89988.0,437.0,64990.0,79413.0,97071.0,184.0,1078.0,676.0,355.0
15,135000,Colorado State University,Fort Collins,CO,7,Masters,0,5,36518.0,51251.0,78397.0,10781.0,45122.0,63409.0,94914.0,7290.0,51614.0,76606.0,118259.0,3378.0,18668.0,10744.0,5020.0
16,135000,Colorado State University,Fort Collins,CO,17,Doctoral - Research/Scholarship,0,5,43204.0,59598.0,84366.0,1846.0,60325.0,80595.0,106076.0,1217.0,70121.0,91363.0,123256.0,525.0,3019.0,1867.0,834.0
17,135000,Colorado State University,Fort Collins,CO,18,Doctoral - Professional Practice,0,5,38822.0,56093.0,73212.0,1509.0,57516.0,77589.0,100862.0,1003.0,59214.0,82104.0,114768.0,472.0,1976.0,1307.0,651.0
30,135800,Colorado Mesa University,Grand Junction,CO,7,Masters,0,5,36848.0,47260.0,60027.0,284.0,41870.0,52357.0,66398.0,212.0,49214.0,77065.0,101406.0,43.0,398.0,221.0,78.0
50,137000,University of Colorado Boulder,Boulder,CO,7,Masters,0,5,38924.0,54845.0,78816.0,9026.0,48218.0,70789.0,103221.0,6726.0,55223.0,82480.0,126369.0,3324.0,16715.0,10452.0,5209.0
51,137000,University of Colorado Boulder,Boulder,CO,17,Doctoral - Research/Scholarship,0,5,40971.0,55780.0,79923.0,3015.0,54745.0,72998.0,104378.0,2064.0,61756.0,85880.0,122791.0,968.0,4912.0,2980.0,1411.0
52,137000,University of Colorado Boulder,Boulder,CO,18,Doctoral - Professional Practice,0,5,43779.0,58025.0,81377.0,1777.0,61719.0,81803.0,122374.0,1179.0,64076.0,97882.0,155778.0,512.0,2518.0,1636.0,779.0
57,232500,University of Michigan,Ann Arbor,MI,7,Masters,0,5,36199.0,61469.0,100519.0,32997.0,53112.0,83718.0,129285.0,22172.0,65397.0,102659.0,162695.0,10633.0,54250.0,33479.0,16427.0
58,232500,University of Michigan,Ann Arbor,MI,17,Doctoral - Research/Scholarship,0,5,43416.0,62897.0,96116.0,7016.0,61967.0,85681.0,119860.0,4877.0,73587.0,103752.0,146964.0,2350.0,11464.0,7150.0,3185.0
59,232500,University of Michigan,Ann Arbor,MI,18,Doctoral - Professional Practice,0,5,49428.0,76634.0,139807.0,7276.0,76278.0,131385.0,204671.0,5413.0,105736.0,173497.0,297823.0,2339.0,10719.0,7011.0,3354.0
